Fri Jan 15 01:53:58 2021 Fold 0, Epoch 39, lr: 0.0000282, train loss: 0.00153, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 01:55:25 2021 Fold 0, Epoch 40, lr: 0.0000239, train loss: 0.00553, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 01:56:52 2021 Fold 0, Epoch 41, lr: 0.0000199, train loss: 0.00422, valid loss: 2.08333, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 01:58:19 2021 Fold 0, Epoch 42, lr: 0.0000162, train loss: 0.00225, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 01:59:45 2021 Fold 0, Epoch 43, lr: 0.0000129, train loss: 0.00627, valid loss: 1.19048, Acc: 98.7879, AUC: 0.012121.
Fri Jan 15 02:01:12 2021 Fold 0, Epoch 44, lr: 0.0000099, train loss: 0.00303, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:02:39 2021 Fold 0, Epoch 45, lr: 0.0000073, train loss: 0.00020, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:04:05 2021 Fold 0, Epoch 46, lr: 0.0000051, train loss: 0.00017, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 02:05:32 2021 Fold 0, Epoch 47, lr: 0.0000033, train loss: 0.00122, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 02:06:58 2021 Fold 0, Epoch 48, lr: 0.0000018, train loss: 0.00085, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 02:08:25 2021 Fold 0, Epoch 49, lr: 0.0000008, train loss: 0.00139, valid loss: 1.07143, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 02:09:52 2021 Fold 0, Epoch 50, lr: 0.0000002, train loss: 0.00096, valid loss: 0.59524, Acc: 99.3939, AUC: 0.006061.
Fri Jan 15 02:11:19 2021 Fold 1, Epoch 1, lr: 0.0000200, train loss: 1.03025, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
