Fri Jan 15 19:36:34 2021 Fold 0, Epoch 34, lr: 0.0000537, train loss: 0.00797, valid loss: 29.20000, Acc: 70.8000.
Fri Jan 15 19:37:35 2021 Fold 0, Epoch 35, lr: 0.0000482, train loss: 0.02693, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 19:38:36 2021 Fold 0, Epoch 36, lr: 0.0000428, train loss: 0.01382, valid loss: 42.00000, Acc: 58.0000.
Fri Jan 15 19:39:37 2021 Fold 0, Epoch 37, lr: 0.0000377, train loss: 0.00214, valid loss: 30.40000, Acc: 69.6000.
Fri Jan 15 19:40:38 2021 Fold 0, Epoch 38, lr: 0.0000328, train loss: 0.00026, valid loss: 32.40000, Acc: 67.6000.
Fri Jan 15 19:41:39 2021 Fold 0, Epoch 39, lr: 0.0000282, train loss: 0.00722, valid loss: 38.00000, Acc: 62.0000.
Fri Jan 15 19:42:40 2021 Fold 0, Epoch 40, lr: 0.0000239, train loss: 0.00724, valid loss: 40.00000, Acc: 60.0000.
Fri Jan 15 19:43:41 2021 Fold 0, Epoch 41, lr: 0.0000199, train loss: 0.00317, valid loss: 36.00000, Acc: 64.0000.
Fri Jan 15 19:44:42 2021 Fold 0, Epoch 42, lr: 0.0000162, train loss: 0.00377, valid loss: 29.60000, Acc: 70.4000.
Fri Jan 15 19:45:43 2021 Fold 0, Epoch 43, lr: 0.0000129, train loss: 0.00091, valid loss: 34.80000, Acc: 65.2000.
Fri Jan 15 19:46:44 2021 Fold 0, Epoch 44, lr: 0.0000099, train loss: 0.00146, valid loss: 28.00000, Acc: 72.0000.
Fri Jan 15 19:47:45 2021 Fold 0, Epoch 45, lr: 0.0000073, train loss: 0.00047, valid loss: 38.40000, Acc: 61.6000.
Fri Jan 15 19:48:46 2021 Fold 0, Epoch 46, lr: 0.0000051, train loss: 0.00801, valid loss: 34.40000, Acc: 65.6000.
Fri Jan 15 19:49:46 2021 Fold 0, Epoch 47, lr: 0.0000033, train loss: 0.00074, valid loss: 34.80000, Acc: 65.2000.
Fri Jan 15 19:50:47 2021 Fold 0, Epoch 48, lr: 0.0000018, train loss: 0.00379, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 19:51:48 2021 Fold 0, Epoch 49, lr: 0.0000008, train loss: 0.00282, valid loss: 41.20000, Acc: 58.8000.
Fri Jan 15 19:52:49 2021 Fold 0, Epoch 50, lr: 0.0000002, train loss: 0.00036, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 19:53:50 2021 Fold 1, Epoch 1, lr: 0.0000200, train loss: 1.01251, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 19:54:51 2021 Fold 1, Epoch 2, lr: 0.0002000, train loss: 1.01531, valid loss: 40.40000, Acc: 59.6000.
Fri Jan 15 19:55:52 2021 Fold 1, Epoch 3, lr: 0.0001998, train loss: 0.97380, valid loss: 42.40000, Acc: 57.6000.
Fri Jan 15 19:56:52 2021 Fold 1, Epoch 4, lr: 0.0001992, train loss: 0.97261, valid loss: 41.20000, Acc: 58.8000.
Fri Jan 15 19:57:53 2021 Fold 1, Epoch 5, lr: 0.0001982, train loss: 0.86516, valid loss: 42.00000, Acc: 58.0000.
Fri Jan 15 19:58:54 2021 Fold 1, Epoch 6, lr: 0.0001967, train loss: 0.80558, valid loss: 36.80000, Acc: 63.2000.
Fri Jan 15 19:59:55 2021 Fold 1, Epoch 7, lr: 0.0001949, train loss: 0.69170, valid loss: 36.00000, Acc: 64.0000.
Fri Jan 15 20:00:56 2021 Fold 1, Epoch 8, lr: 0.0001927, train loss: 0.57889, valid loss: 35.60000, Acc: 64.4000.
Fri Jan 15 20:01:57 2021 Fold 1, Epoch 9, lr: 0.0001901, train loss: 0.36212, valid loss: 40.40000, Acc: 59.6000.
Fri Jan 15 20:02:58 2021 Fold 1, Epoch 10, lr: 0.0001871, train loss: 0.23123, valid loss: 36.40000, Acc: 63.6000.
Fri Jan 15 20:03:58 2021 Fold 1, Epoch 11, lr: 0.0001838, train loss: 0.10797, valid loss: 33.20000, Acc: 66.8000.
Fri Jan 15 20:04:59 2021 Fold 1, Epoch 12, lr: 0.0001801, train loss: 0.11178, valid loss: 30.40000, Acc: 69.6000.
Fri Jan 15 20:06:00 2021 Fold 1, Epoch 13, lr: 0.0001761, train loss: 0.15186, valid loss: 30.80000, Acc: 69.2000.
Fri Jan 15 20:07:01 2021 Fold 1, Epoch 14, lr: 0.0001718, train loss: 0.08040, valid loss: 35.20000, Acc: 64.8000.
Fri Jan 15 20:08:02 2021 Fold 1, Epoch 15, lr: 0.0001672, train loss: 0.07295, valid loss: 36.00000, Acc: 64.0000.
Fri Jan 15 20:09:03 2021 Fold 1, Epoch 16, lr: 0.0001623, train loss: 0.03049, valid loss: 30.40000, Acc: 69.6000.
Fri Jan 15 20:10:04 2021 Fold 1, Epoch 17, lr: 0.0001572, train loss: 0.02265, valid loss: 32.80000, Acc: 67.2000.
Fri Jan 15 20:11:04 2021 Fold 1, Epoch 18, lr: 0.0001518, train loss: 0.01092, valid loss: 26.00000, Acc: 74.0000.
Fri Jan 15 20:12:05 2021 Fold 1, Epoch 19, lr: 0.0001463, train loss: 0.02089, valid loss: 30.00000, Acc: 70.0000.
Fri Jan 15 20:13:06 2021 Fold 1, Epoch 20, lr: 0.0001405, train loss: 0.01675, valid loss: 29.20000, Acc: 70.8000.
Fri Jan 15 20:14:07 2021 Fold 1, Epoch 21, lr: 0.0001345, train loss: 0.00612, valid loss: 25.60000, Acc: 74.4000.
Fri Jan 15 20:15:09 2021 Fold 1, Epoch 22, lr: 0.0001285, train loss: 0.02795, valid loss: 28.80000, Acc: 71.2000.
Fri Jan 15 20:16:09 2021 Fold 1, Epoch 23, lr: 0.0001223, train loss: 0.05961, valid loss: 22.40000, Acc: 77.6000.
Fri Jan 15 20:17:10 2021 Fold 1, Epoch 24, lr: 0.0001160, train loss: 0.01640, valid loss: 27.60000, Acc: 72.4000.
Fri Jan 15 20:18:11 2021 Fold 1, Epoch 25, lr: 0.0001096, train loss: 0.00595, valid loss: 16.80000, Acc: 83.2000.
Fri Jan 15 20:19:12 2021 Fold 1, Epoch 26, lr: 0.0001032, train loss: 0.03127, valid loss: 29.20000, Acc: 70.8000.
Fri Jan 15 20:20:13 2021 Fold 1, Epoch 27, lr: 0.0000968, train loss: 0.01465, valid loss: 19.60000, Acc: 80.4000.
Fri Jan 15 20:21:14 2021 Fold 1, Epoch 28, lr: 0.0000904, train loss: 0.00963, valid loss: 18.80000, Acc: 81.2000.
Fri Jan 15 20:22:15 2021 Fold 1, Epoch 29, lr: 0.0000840, train loss: 0.01324, valid loss: 16.80000, Acc: 83.2000.
Fri Jan 15 20:23:16 2021 Fold 1, Epoch 30, lr: 0.0000777, train loss: 0.00507, valid loss: 15.60000, Acc: 84.4000.
Fri Jan 15 20:24:17 2021 Fold 1, Epoch 31, lr: 0.0000715, train loss: 0.00258, valid loss: 14.40000, Acc: 85.6000.
Fri Jan 15 20:25:18 2021 Fold 1, Epoch 32, lr: 0.0000655, train loss: 0.00663, valid loss: 28.80000, Acc: 71.2000.
Fri Jan 15 20:26:18 2021 Fold 1, Epoch 33, lr: 0.0000595, train loss: 0.00718, valid loss: 18.00000, Acc: 82.0000.
Fri Jan 15 20:27:19 2021 Fold 1, Epoch 34, lr: 0.0000537, train loss: 0.00202, valid loss: 29.20000, Acc: 70.8000.
Fri Jan 15 20:28:20 2021 Fold 1, Epoch 35, lr: 0.0000482, train loss: 0.00560, valid loss: 18.40000, Acc: 81.6000.
Fri Jan 15 20:29:21 2021 Fold 1, Epoch 36, lr: 0.0000428, train loss: 0.00717, valid loss: 29.20000, Acc: 70.8000.
Fri Jan 15 20:30:22 2021 Fold 1, Epoch 37, lr: 0.0000377, train loss: 0.00128, valid loss: 17.20000, Acc: 82.8000.
Fri Jan 15 20:31:23 2021 Fold 1, Epoch 38, lr: 0.0000328, train loss: 0.00285, valid loss: 13.60000, Acc: 86.4000.
Fri Jan 15 20:32:24 2021 Fold 1, Epoch 39, lr: 0.0000282, train loss: 0.01373, valid loss: 18.40000, Acc: 81.6000.
Fri Jan 15 20:33:25 2021 Fold 1, Epoch 40, lr: 0.0000239, train loss: 0.00309, valid loss: 24.80000, Acc: 75.2000.
Fri Jan 15 20:34:26 2021 Fold 1, Epoch 41, lr: 0.0000199, train loss: 0.00060, valid loss: 20.00000, Acc: 80.0000.
Fri Jan 15 20:35:27 2021 Fold 1, Epoch 42, lr: 0.0000162, train loss: 0.00429, valid loss: 19.60000, Acc: 80.4000.
Fri Jan 15 20:36:28 2021 Fold 1, Epoch 43, lr: 0.0000129, train loss: 0.00026, valid loss: 21.20000, Acc: 78.8000.
Fri Jan 15 20:37:29 2021 Fold 1, Epoch 44, lr: 0.0000099, train loss: 0.00274, valid loss: 17.60000, Acc: 82.4000.
Fri Jan 15 20:38:30 2021 Fold 1, Epoch 45, lr: 0.0000073, train loss: 0.00000, valid loss: 21.20000, Acc: 78.8000.
Fri Jan 15 20:39:31 2021 Fold 1, Epoch 46, lr: 0.0000051, train loss: 0.00181, valid loss: 16.00000, Acc: 84.0000.
Fri Jan 15 20:40:32 2021 Fold 1, Epoch 47, lr: 0.0000033, train loss: 0.00012, valid loss: 22.00000, Acc: 78.0000.
Fri Jan 15 20:41:33 2021 Fold 1, Epoch 48, lr: 0.0000018, train loss: 0.00946, valid loss: 17.20000, Acc: 82.8000.
Fri Jan 15 20:42:34 2021 Fold 1, Epoch 49, lr: 0.0000008, train loss: 0.01491, valid loss: 18.00000, Acc: 82.0000.
Fri Jan 15 20:43:35 2021 Fold 1, Epoch 50, lr: 0.0000002, train loss: 0.00000, valid loss: 25.20000, Acc: 74.8000.
Fri Jan 15 20:44:36 2021 Fold 2, Epoch 1, lr: 0.0000200, train loss: 1.10184, valid loss: 38.00000, Acc: 62.0000.
Fri Jan 15 20:45:37 2021 Fold 2, Epoch 2, lr: 0.0002000, train loss: 1.00973, valid loss: 42.00000, Acc: 58.0000.
Fri Jan 15 20:46:38 2021 Fold 2, Epoch 3, lr: 0.0001998, train loss: 1.06437, valid loss: 33.60000, Acc: 66.4000.
Fri Jan 15 20:47:39 2021 Fold 2, Epoch 4, lr: 0.0001992, train loss: 1.10354, valid loss: 44.40000, Acc: 55.6000.
Fri Jan 15 20:48:40 2021 Fold 2, Epoch 5, lr: 0.0001982, train loss: 0.95645, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 20:49:41 2021 Fold 2, Epoch 6, lr: 0.0001967, train loss: 0.90129, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 20:50:42 2021 Fold 2, Epoch 7, lr: 0.0001949, train loss: 0.85360, valid loss: 39.60000, Acc: 60.4000.
Fri Jan 15 20:51:43 2021 Fold 2, Epoch 8, lr: 0.0001927, train loss: 0.74188, valid loss: 37.20000, Acc: 62.8000.
Fri Jan 15 20:52:44 2021 Fold 2, Epoch 9, lr: 0.0001901, train loss: 0.65547, valid loss: 33.20000, Acc: 66.8000.
Fri Jan 15 20:53:46 2021 Fold 2, Epoch 10, lr: 0.0001871, train loss: 0.59698, valid loss: 42.00000, Acc: 58.0000.
Fri Jan 15 20:54:47 2021 Fold 2, Epoch 11, lr: 0.0001838, train loss: 0.49193, valid loss: 42.80000, Acc: 57.2000.
Fri Jan 15 20:55:47 2021 Fold 2, Epoch 12, lr: 0.0001801, train loss: 0.25236, valid loss: 37.60000, Acc: 62.4000.
Fri Jan 15 20:56:48 2021 Fold 2, Epoch 13, lr: 0.0001761, train loss: 0.19973, valid loss: 38.40000, Acc: 61.6000.
Fri Jan 15 20:57:49 2021 Fold 2, Epoch 14, lr: 0.0001718, train loss: 0.20595, valid loss: 41.60000, Acc: 58.4000.
Fri Jan 15 20:58:50 2021 Fold 2, Epoch 15, lr: 0.0001672, train loss: 0.08054, valid loss: 43.20000, Acc: 56.8000.
Fri Jan 15 20:59:51 2021 Fold 2, Epoch 16, lr: 0.0001623, train loss: 0.07465, valid loss: 38.80000, Acc: 61.2000.
Fri Jan 15 21:00:52 2021 Fold 2, Epoch 17, lr: 0.0001572, train loss: 0.10207, valid loss: 39.60000, Acc: 60.4000.
Fri Jan 15 21:01:53 2021 Fold 2, Epoch 18, lr: 0.0001518, train loss: 0.05973, valid loss: 42.00000, Acc: 58.0000.
Fri Jan 15 21:02:54 2021 Fold 2, Epoch 19, lr: 0.0001463, train loss: 0.04681, valid loss: 43.20000, Acc: 56.8000.
Fri Jan 15 21:03:55 2021 Fold 2, Epoch 20, lr: 0.0001405, train loss: 0.10992, valid loss: 42.00000, Acc: 58.0000.
Fri Jan 15 21:04:56 2021 Fold 2, Epoch 21, lr: 0.0001345, train loss: 0.06350, valid loss: 35.20000, Acc: 64.8000.
Fri Jan 15 21:05:57 2021 Fold 2, Epoch 22, lr: 0.0001285, train loss: 0.06860, valid loss: 40.80000, Acc: 59.2000.
Fri Jan 15 21:06:58 2021 Fold 2, Epoch 23, lr: 0.0001223, train loss: 0.06016, valid loss: 34.40000, Acc: 65.6000.
Fri Jan 15 21:07:59 2021 Fold 2, Epoch 24, lr: 0.0001160, train loss: 0.06469, valid loss: 44.00000, Acc: 56.0000.
Fri Jan 15 21:08:59 2021 Fold 2, Epoch 25, lr: 0.0001096, train loss: 0.03330, valid loss: 36.00000, Acc: 64.0000.
Fri Jan 15 21:10:00 2021 Fold 2, Epoch 26, lr: 0.0001032, train loss: 0.00773, valid loss: 34.00000, Acc: 66.0000.
Fri Jan 15 21:11:01 2021 Fold 2, Epoch 27, lr: 0.0000968, train loss: 0.02213, valid loss: 35.60000, Acc: 64.4000.
Fri Jan 15 21:12:02 2021 Fold 2, Epoch 28, lr: 0.0000904, train loss: 0.00651, valid loss: 33.60000, Acc: 66.4000.
